Name,Latitude,Longitude,Diameter
Numerov,-70.70,-160.70,113.0
Nunn,4.60,91.10,19.0
Nüsl,32.30,167.60,61.0
Obruchev,-38.90,162.10,71.0
O'Day,-30.60,157.50,71.0
Oenopides,57.00,-64.10,67.0
Oersted,43.10,47.20,42.0
Ohm,18.40,-113.50,64.0
Oken,-43.70,75.90,71.0
Olbers,7.40,-75.90,74.0
Olcott,20.60,117.80,81.0
Olivier,59.10,138.50,69.0
Omar Khayyam,58.00,-102.10,70.0
Onizuka,-36.20,-148.90,29.0
Opelt,-16.30,-17.50,48.0
Oppenheimer,-35.20,-166.30,208.0
Oppolzer,-1.50,-0.50,40.0
Oresme,-42.40,169.20,76.0
Orlov,-25.70,-175.00,81.0
Orontius,-40.60,-4.60,105.0
Osama,18.60,5.20,0.0
Osiris,18.60,27.60,1.0
Osman,-11.00,-6.20,2.0
Ostwald,10.40,121.90,104.0
Palisa,-9.40,-7.20,33.0
Palitzsch,-28.00,64.50,41.0
Pallas,5.50,-1.60,46.0
Palmieri,-28.60,-47.70,40.0
Paneth,63.00,-94.80,65.0
Pannekoek,-4.20,140.50,71.0
Papaleksi,10.20,164.00,97.0
Paracelsus,-23.00,163.10,83.0
Paraskevopoulos,50.40,-149.90,94.0
Parenago,25.90,-108.50,93.0
Parkhurst,-33.40,103.60,96.0
Parrot,-14.50,3.30,70.0
Parry,-7.90,-15.80,47.0
Parsons,37.30,-171.20,40.0
Pascal,74.60,-70.30,115.0
Paschen,-13.50,-139.80,124.0
Pasteur,-11.90,104.60,224.0
Patricia,25.00,0.30,5.0
Patsaev,-16.70,133.40,55.0
Pauli,-44.50,136.40,84.0
Pavlov,-28.80,142.50,148.0
Pawsey,44.50,145.00,60.0
Peary,88.60,33.00,73.0
Pease,12.50,-106.10,38.0
Peek,2.60,86.90,12.0
Peirce,18.30,53.50,18.0
Peirescius,-46.50,67.60,61.0
Pentland,-64.60,11.50,56.0
Perel'man,-24.00,106.00,46.0
Perepelkin,-10.00,129.00,97.0
Perkin,47.20,-175.90,62.0
Perrine,42.50,-127.80,86.0
Petavius,-25.10,60.40,188.0
Petermann,74.20,66.30,73.0
Peters,68.10,29.50,15.0
Petit,2.30,63.50,5.0
Petrie,45.30,108.40,33.0
Petropavlovskiy,37.20,-114.80,63.0
Petrov,-61.40,88.00,49.0
Pettit,-27.50,-86.60,35.0
Petzval,-62.70,-110.40,90.0
Phillips,-26.60,75.30,122.0
Philolaus,72.10,-32.40,70.0
Phocylides,-52.70,-57.00,121.0
Piazzi,-36.60,-67.90,134.0
Piazzi Smyth,41.90,-3.20,13.0
Picard,14.60,54.70,22.0
Piccolomini,-29.70,32.20,87.0
Pickering,-2.90,7.00,15.0
Pictet,-43.60,-7.40,62.0
Pikel'ner,-47.90,123.30,47.0
Pilâtre,-60.20,-86.90,50.0
Pingré,-58.70,-73.70,88.0
Pirquet,-20.30,139.60,65.0
Pitatus,-29.90,-13.50,106.0
Pitiscus,-50.40,30.90,82.0
Pizzetti,-34.90,118.80,44.0
Plana,42.20,28.20,44.0
Planck,-57.90,136.80,314.0
Planté,-10.20,163.30,37.0
Plaskett,82.10,174.30,109.0
Plato,51.60,-9.40,109.0
Playfair,-23.50,8.40,47.0
Plinius,15.40,23.70,43.0
Plummer,-25.00,-155.00,73.0
Plutarch,24.10,79.00,68.0
Poczobutt,57.10,-98.80,195.0
Pogson,-42.20,110.50,50.0
Poincaré,-56.70,163.60,319.0
Poinsot,79.50,-145.70,68.0
Poisson,-30.40,10.60,42.0
Polybius,-22.40,25.60,41.0
Polzunov,25.30,114.60,67.0
Pomortsev,0.70,66.90,23.0
Poncelet,75.80,-54.10,69.0
Pons,-25.30,21.50,41.0
Pontanus,-28.40,14.40,57.0
Pontécoulant,-58.70,66.00,91.0
Popov,17.20,99.70,65.0
Porter,-56.10,-10.10,51.0
Posidonius,31.80,29.90,95.0
Poynting,18.10,-133.40,128.0
Prager,-3.90,130.50,60.0
Prandtl,-60.10,141.80,91.0
Priestley,-57.30,108.40,52.0
Prinz,25.50,-44.10,46.0
Priscilla,0.00,0.00,0.0
Proclus,16.10,46.80,28.0
Proctor,-46.40,-5.10,52.0
Protagoras,56.00,7.30,21.0
Ptolemaeus,-9.30,-1.90,164.0
Puiseux,-27.80,-39.00,24.0
Pupin,23.80,-11.00,2.0
Purbach,-25.50,-2.30,115.0
Purkyne,-1.60,94.90,48.0
Pythagoras,63.50,-63.00,142.0
Pytheas,20.50,-20.60,20.0
Quetelet,43.10,-134.90,55.0
Rabbi Levi,-34.70,23.60,81.0
Racah,-13.80,-179.80,63.0
Raimond,14.60,-159.30,70.0
Raman,27.00,-55.10,10.0
Ramsay,-40.20,144.50,81.0
Ramsden,0.00,0.00,24.0
Rankine,-3.90,71.50,8.0
Raspletin,-22.50,151.80,48.0
Ravi,-22.50,151.80,48.0
Rayet,44.70,114.50,27.0
Rayleigh,29.30,89.60,114.0
Razumov,39.10,-114.30,70.0
Recht,9.80,124.00,20.0
Regiomontanus,-28.30,-1.00,108.0
Regnault,54.10,-88.00,46.0
Reichenbach,-30.30,48.00,71.0
Reimarus,-47.70,60.30,48.0
Reiner,7.00,-54.90,29.0
Reinhold,3.30,-22.80,42.0
Repsold,51.30,-78.60,109.0
Resnik,-38.80,-150.10,20.0
Respighi,2.80,71.90,18.0
Réaumur,-2.40,0.70,52.0
Rhaeticus,0.00,4.90,45.0
Rheita,-37.10,47.20,70.0
Riccioli,-3.30,-74.60,139.0
Riccius,-36.90,26.50,71.0
Ricco,75.60,176.30,65.0
Richards,7.70,140.10,16.0
Richardson,31.10,100.50,141.0
Riedel,-48.90,-139.60,0.0
Riemann,38.90,86.80,163.0
Ritchey,-11.10,8.50,24.0
Rittenhouse,-74.50,106.50,26.0
Ritter,2.00,19.20,29.0
Ritz,-15.10,92.20,51.0
Robert,19.00,27.40,1.0
Roberts,71.10,-174.50,89.0
Robertson,21.80,-105.20,88.0
Robinson,59.00,-45.90,24.0
Rocca,-12.70,-72.80,89.0
Rocco,28.90,-45.00,4.0
Roche,-42.30,136.50,160.0
Romeo,7.50,122.60,8.0
Römer,25.40,36.40,39.0
Röntgen,33.00,-91.40,126.0
Rosa,20.30,-32.30,1.0
Rosenberger,-55.40,43.10,95.0
Ross,11.70,21.70,24.0
Rosse,-17.90,35.00,11.0
Rosseland,-41.00,131.00,75.0
Rost,-56.40,-33.70,48.0
Rothmann,-30.80,27.70,42.0
Rowland,57.40,-162.50,171.0
Rozhdestvenskiy,85.20,-155.40,177.0
Rumford,-28.80,-169.80,61.0
Runge,-2.50,86.70,38.0
Russell,26.50,-75.40,103.0
Ruth,28.70,-45.10,3.0
Rutherford,10.70,137.00,13.0
Rutherfurd,-60.90,-12.10,48.0
Rydberg,-46.50,-96.30,49.0
Rynin,47.00,-103.50,75.0
Sabatier,13.20,79.00,10.0
Sabine,1.40,20.10,30.0
Sacrobosco,-23.70,16.70,98.0
Saenger,4.30,102.40,75.0
Safarík,10.60,176.90,27.0
Saha,-1.60,102.70,99.0
Samir,28.50,-34.30,2.0
Sampson,29.70,-16.50,1.0
Sanford,32.60,-138.90,55.0
Santbech,-20.90,44.00,64.0
Santos-Dumont,27.70,4.80,8.0
Sarabhai,24.70,21.00,7.0
Sarton,49.30,-121.10,69.0
Sasserides,-39.10,-9.30,90.0
Saunder,-4.20,8.80,44.0
Saussure,-43.40,-3.80,54.0
Scaliger,-27.10,108.90,84.0
Schaeberle,-26.20,117.20,62.0
Scheele,-9.40,-37.80,4.0
Scheiner,-60.50,-27.50,110.0
Schiaparelli,23.40,-58.80,24.0
Schickard,-44.30,-55.30,206.0
Schiller,-51.90,-39.00,180.0
Schjellerup,69.70,157.10,62.0
Schlesinger,47.40,-138.60,97.0
Schliemann,-2.10,155.20,80.0
Schlüter,-5.90,-83.30,89.0
Schmidt,1.00,18.80,11.0
Schneller,41.80,-163.60,54.0
Schomberger,-76.70,24.90,85.0
Schönfeld,44.80,-98.10,25.0
Schorr,-19.50,89.70,53.0
Schrödinger,-75.00,132.40,312.0
Schröter,2.60,-7.00,35.0
Schubert,2.80,81.00,54.0
Schumacher,42.40,60.70,60.0
Schuster,4.20,146.50,108.0
Schwabe,65.10,45.60,25.0
Schwarzschild,70.10,121.20,212.0
Scobee,-31.10,-148.90,40.0
Scoresby,77.70,14.10,55.0
Scott,-82.10,48.50,103.0
Seares,73.50,145.80,110.0
Secchi,2.40,43.50,22.0
Sechenov,-7.10,-142.60,62.0
Seeliger,-2.20,3.00,8.0
Segers,47.10,127.70,17.0
Segner,-58.90,-48.30,67.0
Seidel,-32.80,152.20,62.0
Seleucus,21.00,-66.60,43.0
Seneca,26.60,80.20,46.0
Seyfert,29.10,114.60,110.0
Shackleton,-89.90,0.00,19.0
Shahinaz,7.50,122.40,15.0
Shaler,-32.90,-85.20,48.0
Shapley,9.40,56.90,23.0
Sharonov,12.40,173.30,74.0
Sharp,45.70,-40.20,39.0
Shatalov,24.30,141.50,21.0
Shayn,32.60,172.50,93.0
Sheepshanks,59.20,16.90,25.0
Sherrington,-11.10,118.00,18.0
Shi Shen,76.00,104.10,43.0
Shirakatsi,-12.10,128.60,51.0
Short,-74.60,-7.30,70.0
Shternberg (Sternberg),19.50,-116.30,70.0
Shuckburgh,42.60,52.80,38.0
Shulejkin,-27.10,-92.50,15.0
Siedentopf,22.00,135.50,61.0
Sierpinski,-27.20,154.50,69.0
Sikorsky,-66.10,103.20,98.0
Silberschlag,6.20,12.50,13.0
Simpelius,-73.00,15.20,70.0
Sinas,8.80,31.60,11.0
Sirsalis,-12.50,-60.40,42.0
Sisakyan,41.20,109.00,34.0
Sita,4.60,120.80,2.0
Sklodowska,-18.20,95.50,127.0
Slipher,49.50,160.10,69.0
Slocum,-3.00,89.00,13.0
Smith,-31.60,-150.20,34.0
Smithson,2.40,53.60,5.0
Smoluchowski,60.30,-96.80,83.0
Snellius,-29.30,55.70,82.0
Sniadecki,-22.50,-168.90,43.0
Soddy,0.40,121.80,42.0
Somerville,-8.30,64.90,15.0
Sommerfeld,65.20,-162.40,169.0
Sömmering,0.10,-7.50,28.0
Soraya,-12.90,-1.60,2.0
Sosigenes,8.70,17.60,17.0
South,58.00,-50.80,104.0
Spallanzani,-46.30,24.70,32.0
Spencer Jones,13.30,165.60,85.0
Spörer,-4.30,-1.80,27.0
Spurr,27.90,-1.20,11.0
St. John,10.20,150.20,68.0
Stadius,10.50,-13.70,69.0
Stark,-25.50,134.60,49.0
Stearns,34.80,162.60,36.0
Stebbins,64.80,-141.80,131.0
Stefan,46.00,-108.30,125.0
Stein,7.20,179.00,33.0
Steinheil,-48.60,46.50,67.0
Steklov,-36.70,-104.90,36.0
Stella,19.90,29.80,36.0
Steno,32.80,161.80,31.0
Sternfeld,-19.60,-141.20,100.0
Stetson,-39.60,-118.30,64.0
Stevinus,-32.50,54.20,74.0
Stewart,2.20,67.00,13.0
Stiborius,-34.40,32.00,43.0
Stöfler,-41.10,6.00,126.0
Stokes,52.50,-88.10,51.0
Stoletov,45.10,-155.20,42.0
Stoney,-55.30,-156.10,45.0
Störmer,57.30,146.30,69.0
Strabo,61.90,54.30,55.0
Stratton,-5.80,164.60,70.0
Street,-46.50,-10.50,57.0
Strömgren,-21.70,-132.40,61.0
Struve,22.40,-77.10,164.0
Subbotin,-29.20,135.30,67.0
Suess,4.40,-47.60,8.0
Sulpicius Gallus,19.60,11.60,12.0
Sumner,37.50,108.70,50.0
Sundman,10.80,-91.60,40.0
Sung-Mei,24.60,11.30,5.0
Susan,-11.00,-6.30,1.0
Swann,52.00,112.70,42.0
Swasey,-5.50,89.70,23.0
Swift,19.30,53.40,10.0
Sylvester,82.70,-79.60,58.0
Szilard,34.00,105.70,122.0
T. Mayer,15.60,-29.10,33.0
Tacchini,4.90,85.80,40.0
Tacitus,-16.20,19.00,39.0
Tacquet,16.60,19.20,7.0
Taizo,16.60,19.20,6.0
Talbot,-2.50,85.30,11.0
Tamm,-4.40,146.40,38.0
Tannerus,-56.40,22.00,28.0
Taruntius,5.60,46.50,56.0
Taylor,-5.30,16.70,42.0
Tebbutt,9.60,53.60,31.0
Teisserenc,32.20,-135.90,62.0
Tempel,3.90,11.90,45.0
Ten Bruggencate,-9.50,134.40,59.0
Tereshkova,28.40,144.30,31.0
Tesla,38.50,124.70,43.0
Thales,61.80,50.30,31.0
Theaetetus,37.00,6.00,24.0
Thebit,-22.00,-4.00,56.0
Theiler,13.40,83.30,7.0
Theon Junior,-2.30,15.80,17.0
Theon Senior,-0.80,15.40,18.0
Theophilus,-11.40,26.40,110.0
Theophrastus,17.50,39.00,9.0
Thiel,40.70,-134.50,32.0
Thiessen,75.40,-169.00,66.0
Thomson,-32.70,166.20,117.0
Tikhomirov,25.20,162.00,65.0
Tikhov,62.30,171.70,83.0
Tiling,-53.10,-132.60,38.0
Timaeus,62.80,-0.50,32.0
Timiryazev,-5.50,-147.00,53.0
Timocharis,26.70,-13.10,33.0
Tiselius,7.00,176.50,53.0
Tisserand,21.40,48.20,36.0
Titius,-26.80,100.70,73.0
Titov,28.60,150.50,31.0
Tolansky,-9.50,-16.00,13.0
Torricelli,-4.60,28.50,22.0
Toscanelli,27.40,-47.50,7.0
Townley,3.40,63.30,18.0
Tralles,28.40,52.80,43.0
Triesnecker,4.20,3.60,26.0
Trouvelot,49.30,5.80,9.0
Trumpler,29.30,167.10,77.0
Tsander,6.20,-149.30,181.0
Tseraskiy (Cerasky),-49.00,141.60,56.0
Tsinger,56.70,175.60,44.0
Tsiolkovskiy,-21.20,128.90,185.0
Tsu Chung-Chi,17.30,145.10,28.0
Tucker,-5.60,88.20,7.0
Turner,-1.40,-13.20,11.0
Tycho,-43.40,-11.10,102.0
Tyndall,-34.90,117.00,18.0
Ukert,7.80,1.40,23.0
Ulugh Beigh,32.70,-81.90,54.0
Urey,27.90,87.40,38.0
Väisälä,25.90,-47.80,8.0
Valier,6.80,174.50,67.0
van Albada,9.40,64.30,21.0
Van Biesbroeck,28.70,-45.60,9.0
Van de Graaff,-27.40,172.20,233.0
Van del Waals,-43.90,119.90,104.0
van den Bergh,31.30,-159.10,42.0
van den Bos,-5.30,146.00,22.0
van Gent,15.40,160.40,43.0
Van Maanen,35.70,128.00,60.0
van Rhijn,52.60,146.40,46.0
Van Vleck,-1.90,78.30,31.0
Van Wijk,-62.80,118.80,32.0
van't Hoff,62.10,-131.80,92.0
Vasco da Gama,13.60,-83.90,83.0
Vashakidze,43.60,93.30,44.0
Vavilov,-0.80,-137.90,98.0
Vega,-45.40,63.40,75.0
Vendelinus,-16.40,61.60,131.0
Vening Meinesz,-0.30,162.60,87.0
Ventris,-4.90,158.00,95.0
Vera,26.30,-43.70,2.0
Vernadskiy,23.20,130.50,91.0
Verne,24.90,-25.30,2.0
Vertregt,-19.80,171.10,187.0
Very,25.60,25.30,5.0
Vesalius,-3.10,114.50,61.0
Vestine,33.90,93.90,96.0
Vetchinkin,10.20,131.30,98.0
Vieta,-29.20,-56.30,87.0
Vil'ev,-6.10,144.40,45.0
Virchow,9.80,83.70,16.0
Virtanen,15.50,176.70,44.0
Vitello,-30.40,-37.50,42.0
Vitruvius,17.60,31.30,29.0
Viviani,5.20,117.10,26.0
Vlacq,-53.30,38.80,89.0
Vogel,-15.10,5.90,26.0
Volkov,-13.60,131.70,40.0
Volta,53.90,-84.40,123.0
Volterra,56.80,132.20,52.0
von Behring,-7.80,71.80,38.0
von Békésy,51.90,126.80,96.0
von Braun,41.10,-78.00,60.0
von der Pahlen,-24.80,-132.70,56.0
Von Kármán,-44.80,175.90,180.0
Von Neumann,40.40,153.20,78.0
von Zeipel,42.60,-141.60,83.0
Voskresenskiy,28.00,-88.10,49.0
W. Bond,65.40,-4.50,156.0
Walker,-26.00,-162.20,32.0
Wallace,20.30,-8.70,26.0
Wallach,4.90,32.30,6.0
Walter,28.00,-33.80,1.0
Walter (Walther),-33.10,1.00,128.0
Wan-Hoo,-9.80,-138.80,52.0
Wargentin,-49.60,-60.20,84.0
Warner,-4.00,87.30,35.0
Waterman,-25.90,128.00,76.0
Watson,-62.60,-124.50,62.0
Watt,-49.50,48.60,66.0
Watts,8.90,46.30,15.0
Webb,-0.90,60.00,21.0
Weber,50.40,-123.40,42.0
Wegener,45.20,-113.30,88.0
Weierstrass,-1.30,77.20,33.0
Weigel,-58.20,-38.80,35.0
Weinek,-27.50,37.00,32.0
Weiss,-31.80,-19.50,66.0
Werner,-28.00,3.30,70.0
Wexler,-69.10,90.20,51.0
Weyl,17.50,-120.20,108.0
Whewell,4.20,13.70,13.0
White,-44.60,-158.30,39.0
Wichmann,-7.50,-38.10,10.0
Widmanstätten,-6.10,85.50,46.0
Wiechert,-84.50,165.00,41.0
Wiener,40.80,146.60,120.0
Wildt,9.00,75.80,11.0
Wilhelm,-43.40,-20.40,106.0
Wilkins,-29.40,19.60,57.0
Williams,42.00,37.20,36.0
Wilsing,-21.50,-155.20,73.0
Wilson,-69.20,-42.40,69.0
Winkler,42.20,-179.00,22.0
Winlock,35.60,-105.60,64.0
Winthrop,-10.70,-44.40,17.0
Wöhler,-38.20,31.40,27.0
Wolf,-22.70,-16.60,25.0
Wollaston,30.60,-46.90,10.0
Woltjer,45.20,-159.60,46.0
Wood,43.00,-120.80,78.0
Wright,-31.60,-86.60,39.0
Wróblewski,-24.00,152.80,21.0
Wrottesley,-23.90,56.80,57.0
Wurzelbauer,-33.90,-15.90,88.0
Wyld,-1.40,98.10,93.0
Xenophanes,57.50,-82.00,125.0
Xenophon,-22.80,122.10,25.0
Yablochkov,60.90,128.30,99.0
Yakovkin,-54.50,-78.80,37.0
Yamamoto,58.10,160.90,76.0
Yangel',17.00,4.70,8.0
Yerkes,14.60,51.70,36.0
Yoshi,24.60,11.00,1.0
Young,-41.50,50.90,71.0
Zach,-60.90,5.30,70.0
Zagut,-32.00,22.10,84.0
Zähringer,5.60,40.20,11.0
Zanstra,2.90,124.70,42.0
Zasyadko,3.90,94.20,11.0
Zeeman,-75.20,-133.60,190.0
Zelinskiy,-28.90,166.80,53.0
Zeno,45.20,72.90,65.0
Zernike,18.40,168.20,48.0
Zhiritskiy,-24.80,120.30,35.0
Zhukovskiy,7.80,-167.00,81.0
Zinner,26.60,-58.80,4.0
Zöllner,-8.00,18.90,47.0
Zsigmondy,59.70,-104.70,65.0
Zucchius,-61.40,-50.30,64.0
Zupus,-17.20,-52.30,38.0
Zwicky,-15.40,168.10,150.0
